,Spot,Country,Zone,Latitude,Longitude,Distance,Walk,Easy to find?,Public access?,Special access,Wave quality,Experience,Frequency,Type,Direction,Bottom,Power,Normal length,Good day length,Good swell direction,Good wind direction,Swell size,Best tide position,Best tide movement,Week crowd,Week-end crowd,Webcam url,DANGERS,BestSurfing_JanFeb,BestSurfing_MarApr,BestSurfing_MayJun,BestSurfing_JulAug,BestSurfing_SepOct,BestSurfing_NovDec,TypicalSwell_JanFeb,TypicalSwell_MarApr,TypicalSwell_MayJun,TypicalSwell_JulAug,TypicalSwell_SepOct,TypicalSwell_NovDec,SurfEquipment_JanFeb,SurfEquipment_MarApr,SurfEquipment_MayJun,SurfEquipment_JulAug,SurfEquipment_SepOct,SurfEquipment_NovDec,WaterTemp_JanFeb,WaterTemp_MarApr,WaterTemp_MayJun,WaterTemp_JulAug,WaterTemp_SepOct,WaterTemp_NovDec,AirTemp_JanFeb,AirTemp_MarApr,AirTemp_MayJun,AirTemp_JulAug,AirTemp_SepOct,AirTemp_NovDec,test
12,quicombo,Angola,Angola2,-11.31703333,13.81133333,Starts working at 1.5m-2m /5ft-6ft and holds up to 3m+ / 10ft+,Week-end trip,Left,West; SouthWest; South,Rising and falling tides,Empty,Hollow; Fast,Reef (coral;sharp rocks etc..) with sand,Easy to find,East; NorthEast,Normal (50 to 150m),Experienced surfers,Short walk (5-15 mn),,Don't know,Regional Classic,Short (&amp;lt; 50m),Empty,4x4,Point-break,Low and mid tide,,,4,3,2,2,3,1,5,4,1,1,2,6,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,9,19,19,23,22,12,15,19,21,27,24,13,quicomboAngola
13,shipwreck,Angola,Angola2,-9.108883333,12.99956667,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2m+ / 6ft+,Take a car,Left,West; SouthWest; South,Rising and falling tides,Empty,Hollow; Fast,Sandy,Easy to find,East; NorthEast,Normal (50 to 150m),Experienced surfers,Instant access (&amp;lt; 5min),Public access,Don't know,Normal,Short (&amp;lt; 50m),Empty,4x4,Beach-break,Low and mid tide,,,1,3,4,2,3,2,4,4,0,2,5,3,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,11,18,17,24,22,13,12,18,20,25,22,14,shipwreckAngola
14,sumbe,Angola,Angola2,-11.22696667,13.83385,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,Week-end trip,Right and left,West; SouthWest; South,Rising tide,Empty,Hollow; Fast; Fun,Sandy with rock,Easy to find,East; NorthEast,Normal (50 to 150m),Experienced surfers,Instant access (&amp;lt; 5min),Public access,Don't know,Normal,Short (&amp;lt; 50m),Empty,Don't know,Beach-break,Low and mid tide,,,1,1,2,4,5,3,5,1,0,3,4,3,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,12,15,17,23,20,14,13,14,21,23,21,13,sumbeAngola
15,Kribi,Cameroon,Cameroon2,2.933416667,9.904833333,Starts working at Less than 1m / 3ft and holds up to 4m+ / 12ft,Day trip,Right and left,West,Rising and falling tides,Empty,Fun,Sandy,Easy to find,,Normal (50 to 150m),All surfers,Instant access (&amp;lt; 5min),Public access,Very consistent (150 day/year),Normal,Normal (50 to 150m),Empty,,Beach-break,All tides,,,1,2,3,3,3,1,6,2,0,2,2,5,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,9,20,16,19,17,15,11,19,18,27,26,12,KribiCameroon
16,Seme_Beach__Limbe,Cameroon,Cameroon1,4.011883333,9.1396,Starts working at Less than 1m / 3ft and holds up to Don't know,Don't know,Right and left,Don't know,Don't know,Empty,Ordinary,Sandy,Don't know,Don't know,Normal (50 to 150m),All surfers,Don't know,Don't know,Sometimes break,Sloppy,Short (&amp;lt; 50m),Empty,Don't know,Beach-break,Don't know,,,4,0,4,1,2,2,4,1,2,2,3,4,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,11,17,17,23,21,15,12,17,19,27,23,14,Seme_Beach__LimbeCameroon
17,Caga_Spot,Cape_Verde,Cape_Verde2,,,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2m+ / 6ft+,Day trip,,SouthWest; South,Don't know,Empty,Hollow; Fast; Powerful; Ledgey,Reef (coral; sharp rocks etc..),,North,Short (&amp;lt; 50m),Pros or kamikaze only...,,Public access,Sometimes break,Totally Epic,Short (&amp;lt; 50m),Empty,,Reef-rocky,Mid and high tide,,,3,1,3,2,2,4,4,1,3,3,4,3,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,14,20,15,20,17,14,15,17,18,22,21,12,Caga_SpotCape_Verde
18,Coca_s_Beach_Praia,Cape_Verde,Cape_Verde1,14.91668333,-23.50613333,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,In the city,Left,SouthWest; South,Rising and falling tides,Empty,Fun,Flat rocks with sand,Easy to find,North; NorthEast,Long (150 to 300 m),All surfers,Instant access (&amp;lt; 5min),Public access,Sometimes break,Normal,Normal (50 to 150m),Few surfers,Don't know,Point-break,Mid tide,,,2,0,4,4,3,3,6,2,3,4,4,3,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,13,19,17,20,18,16,14,14,22,24,25,17,Coca_s_Beach_PraiaCape_Verde
19,Coragi,Cape_Verde,Cape_Verde3,14.90251667,-23.52266667,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2.5m+ / 8ft+,In the city,Left,SouthWest; South; SouthEast,,Few surfers,Powerful,Reef (coral; sharp rocks etc..),Easy to find,Don't know,,Experienced surfers,Short walk (5-15 mn),Public access,Very consistent (150 day/year),Normal,,Few surfers,Don't know,Reef-rocky,,,,1,2,4,3,3,2,6,4,3,1,4,3,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,10,18,16,24,20,15,11,16,19,24,22,12,CoragiCape_Verde
20,ervatao,Cape_Verde,Cape_Verde2,,,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 5m / 16 ft and over,Day trip,Left,,,Empty,Hollow; Fast; Powerful,Reef (coral; sharp rocks etc..),Hard to find,,Long (150 to 300 m),Experienced surfers,Instant access (&amp;lt; 5min),Public access,Don't know,Normal,Normal (50 to 150m),Empty,4x4,Reef-rocky,All tides,,,2,0,4,1,5,1,5,4,2,2,5,6,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,12,19,18,19,17,15,14,14,19,27,21,17,ervataoCape_Verde
21,ilha_do_sal,Cape_Verde,Cape_Verde1,,,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,Take a car,Right,North,Rising and falling tides,Few surfers,Fast; Powerful,Sandy with rock,OK,North,Normal (50 to 150m),All surfers,Instant access (&amp;lt; 5min),Public access,Don't know,Normal,Short (&amp;lt; 50m),Few surfers,4x4,Point-break,Mid tide,,,4,2,2,4,5,1,6,2,2,4,5,4,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,9,20,15,21,20,13,12,16,23,22,21,13,ilha_do_salCape_Verde
22,laginha,Cape_Verde,Cape_Verde1,,,Starts working at  and holds up to ,In the city,Right and left,,,Crowded,Fast,Sandy with rock,,,Normal (50 to 150m),All surfers,Instant access (&amp;lt; 5min),,Rarely break (5day/year),Normal,Short (&amp;lt; 50m),Ultra crowded,Don't know,Reef-rocky,Low and mid tide,,,4,2,4,3,3,3,3,1,2,1,2,6,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,10,16,14,23,21,16,10,14,22,25,23,12,laginhaCape_Verde
23,Meio_de_Baia,Cape_Verde,Cape_Verde1,,,Starts working at 1.5m-2m /5ft-6ft and holds up to 5m / 16 ft and over,In the city,Right and left,,Falling tide,Empty,Hollow; Powerful,Reef (coral; sharp rocks etc..),Easy to find,,Long (150 to 300 m),Experienced surfers,Instant access (&amp;lt; 5min),Public access,Sometimes break,World Class,Long (150 to 300 m),Empty,Paddle &gt; 20mn or Boat,Reef-rocky,All tides,,,2,0,1,4,4,4,6,1,1,2,4,5,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,13,17,16,23,22,12,13,19,23,25,23,13,Meio_de_BaiaCape_Verde
24,Palmeira_-_ilha_do_sal,Cape_Verde,Cape_Verde3,16.75211667,-22.9791,Starts working at Less than 1m / 3ft and holds up to 2.5m+ / 8ft+,Take a car,Left,North; NorthWest,,Few surfers,Powerful,Reef (coral; sharp rocks etc..),OK,,Long (150 to 300 m),Pros or kamikaze only...,Instant access (&amp;lt; 5min),Private access,Regular,World Class,Normal (50 to 150m),Crowded,4x4,Reef-rocky,All tides,,,3,0,1,2,5,3,6,3,0,2,3,3,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,9,19,17,20,22,13,15,15,20,27,21,12,Palmeira_-_ilha_do_salCape_Verde
25,ponta_preda,Cape_Verde,Cape_Verde2,16.6125,-22.93258333,Starts working at 1.5m-2m /5ft-6ft and holds up to 4m+ / 12ft,Surf trip,Right,North; NorthWest,,Few surfers,Ledgey,Sandy with rock,Hard to find,South; SouthEast,Very Long (300 to 500 m),Pros or kamikaze only...,Long walk (&gt;30 mn),,Regular,World Class,Long (150 to 300 m),Few surfers,4x4,Point-break,,,,4,2,4,2,2,4,3,2,0,4,4,6,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,11,15,14,22,18,14,13,15,19,24,26,13,ponta_predaCape_Verde
26,Praia_do_Chaves,Cape_Verde,Cape_Verde2,16.1419,-22.9071,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2.5m+ / 8ft+,Don't know,Right and left,Don't know,Don't know,Few surfers,Powerful,Sandy,Easy to find,SouthWest,Normal (50 to 150m),All surfers,Instant access (&amp;lt; 5min),Public access,Sometimes break,Normal,Normal (50 to 150m),Few surfers,Don't know,Sand-bar,Mid tide,,,4,0,3,3,2,1,4,2,3,4,4,4,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,10,19,15,24,22,15,15,16,20,23,23,13,Praia_do_ChavesCape_Verde
27,Praia_Negra,Cape_Verde,Cape_Verde3,14.91595,-23.5054,Starts working at Less than 1m / 3ft and holds up to 3m+ / 10ft+,In the city,Left,South,Rising tide,Empty,Fun,Flat rocks,Easy to find,NorthEast,Normal (50 to 150m),All surfers,Instant access (&amp;lt; 5min),Public access,Regular,Regional Classic,Normal (50 to 150m),Crowded,Don't know,Point-break,All tides,,,3,0,2,4,4,2,4,3,1,1,4,4,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,13,20,19,20,21,14,11,19,18,23,22,16,Praia_NegraCape_Verde
28,rincon,Cape_Verde,Cape_Verde1,,,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 5m / 16 ft and over,Take a car,Right and left,North; NorthWest,Rising tide,Empty,Hollow; Powerful,Flat rocks,Easy to find,NorthEast,Long (150 to 300 m),Pros or kamikaze only...,Long walk (&gt;30 mn),Public access,Don't know,Normal,Normal (50 to 150m),Empty,4x4,Reef-rocky,All tides,,,2,1,1,2,4,3,6,2,0,4,5,3,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,14,19,18,19,19,14,12,15,21,22,26,12,rinconCape_Verde
29,Sandy_Beach_-_Sao_Vincente,Cape_Verde,Cape_Verde3,16.86336667,-24.87905,Starts working at Less than 1m / 3ft and holds up to 2.5m+ / 8ft+,Day trip,Right,South,,,Hollow; Fast; Fun,Sandy with rock,Hard to find,North,,All surfers,Instant access (&amp;lt; 5min),Public access,Very consistent (150 day/year),World Class,Normal (50 to 150m),,4x4,Point-break,All tides,,,2,2,4,3,5,3,3,1,1,4,4,3,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,10,20,18,22,22,12,10,16,21,27,22,15,Sandy_Beach_-_Sao_VincenteCape_Verde
30,santa_maria,Cape_Verde,Cape_Verde1,,,Starts working at  and holds up to ,In the city,Left,,Rising and falling tides,Few surfers,Fun,Flat rocks with sand,Easy to find,,Long (150 to 300 m),All surfers,Instant access (&amp;lt; 5min),Public access,Don't know,Normal,Normal (50 to 150m),Crowded,Don't know,Reef-rocky,High tide only,,,2,2,3,1,4,2,4,2,0,4,2,6,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,10,20,14,22,17,16,13,14,19,22,22,16,santa_mariaCape_Verde
31,Santa_Monica__Boa_Vista,Cape_Verde,Cape_Verde1,15.99366667,-22.89481667,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to Don't know,Take a car,Right,North; NorthWest; West; SouthWest; South; SouthEast,,Empty,Hollow; Fast,Sandy with rock,OK,North; NorthWest; West; East; NorthEast,Short (&amp;lt; 50m),Experienced surfers,Long walk (&gt;30 mn),Public access,Regular,Regional Classic,Short (&amp;lt; 50m),Empty,4x4,Beach-break,All tides,,,1,1,2,3,3,3,6,3,3,3,2,3,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,10,18,15,19,20,16,12,19,18,26,23,14,Santa_Monica__Boa_VistaCape_Verde
32,cote_sauvage,Congo,Congo3,-4.8132,11.84326667,Starts working at  and holds up to ,Sell the house; wife and kids,Left,,,,Fast,Sandy with rock,Hard to find,,Normal (50 to 150m),All surfers,Long walk (&gt;30 mn),Private access,Regular,Normal,Normal (50 to 150m),,4x4,Sand-bar,,,,4,0,3,2,3,4,4,3,3,2,4,3,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,10,16,14,23,17,16,12,19,19,26,26,14,cote_sauvageCongo
33,Djeno_Rocher___Ibanga_for_the_locals_,Congo,Congo1,,,Starts working at 1.5m-2m /5ft-6ft and holds up to 2m+ / 6ft+,Take a car,Left,SouthWest,Rising tide,Empty,Hollow; Fast; Powerful; Ledgey; Slab,Reef (coral;sharp rocks etc..) with sand,OK,East,Long (150 to 300 m),Pros or kamikaze only...,,Public access,Sometimes break,Totally Epic,Normal (50 to 150m),Empty,4x4,Reef-rocky,Mid tide,,,1,0,1,4,2,2,5,3,0,2,3,4,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,13,20,14,24,21,16,11,16,19,23,25,15,Djeno_Rocher___Ibanga_for_the_locals_Congo
34,le_piege,Congo,Congo2,-4.773333333,11.82523333,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to ,Take a car,Left,West; SouthWest,,Empty,Fun,Sandy,Hard to find,,Short (&amp;lt; 50m),,Instant access (&amp;lt; 5min),Private access,Regular,Normal,Short (&amp;lt; 50m),Few surfers,Don't know,Point-break,Low and mid tide,,,2,2,2,3,2,4,3,1,1,1,2,3,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,10,17,18,20,19,12,10,17,19,23,25,15,le_piegeCongo
35,mvassa,Congo,Congo3,,,Starts working at  and holds up to ,Day trip,Right and left,,,Few surfers,Fun,,OK,,Normal (50 to 150m),All surfers,,Public access,Regular,Regional Classic,Long (150 to 300 m),Few surfers,4x4,Reef-rocky,,,,3,2,3,3,5,3,5,3,1,3,4,3,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,14,15,16,22,19,12,10,19,18,26,25,17,mvassaCongo
36,Agami,Egypt,Egypt2,31.1279,29.7733,Starts working at Less than 1m / 3ft and holds up to 4m+ / 12ft,In the city,Right and left,,Rising and falling tides,Empty,Powerful,Sandy,Easy to find,North; NorthWest; West,Long (150 to 300 m),All surfers,Instant access (&amp;lt; 5min),Public access,Very consistent (150 day/year),Normal,Normal (50 to 150m),Crowded,Don't know,Beach-break,All tides,,,3,3,3,4,5,2,3,4,3,1,4,4,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,14,17,16,23,21,13,11,15,18,23,26,15,AgamiEgypt
37,Arabia_Beach,Egypt,Egypt3,,,Starts working at 2m-2.5m / 6ft-8ft and holds up to 2m+ / 6ft+,In the city,Right and left,,Rising tide,Empty,,Reef (coral; sharp rocks etc..),Easy to find,,Short (&amp;lt; 50m),All surfers,Instant access (&amp;lt; 5min),Private access,Sometimes break,Regional Classic,Short (&amp;lt; 50m),Empty,Don't know,Reef-coral,Mid and high tide,,,3,3,1,4,2,1,4,4,3,1,3,4,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,12,19,19,19,21,17,11,15,22,27,26,13,Arabia_BeachEgypt
38,El_Corniche,Egypt,Egypt2,31.26196667,29.98143333,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,In the city,Right and left,,,Empty,,Sandy with rock,Easy to find,,Short (&amp;lt; 50m),All surfers,Instant access (&amp;lt; 5min),Private access,Sometimes break,Sloppy,Short (&amp;lt; 50m),Empty,Don't know,Beach-break,All tides,,,4,2,1,3,4,3,6,1,2,3,4,3,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,9,18,19,21,20,17,13,18,21,23,26,15,El_CornicheEgypt
39,Mandara,Egypt,Egypt1,31.28023333,30.0087,Starts working at Less than 1m / 3ft and holds up to 2m+ / 6ft+,In the city,Right and left,North; NorthWest; NorthEast,Rising and falling tides,Empty,Fast; Powerful,Sandy,Easy to find,North; NorthWest; West; NorthEast,Normal (50 to 150m),All surfers,Instant access (&amp;lt; 5min),Public access,Regular,Regional Classic,Short (&amp;lt; 50m),Empty,Don't know,Beach-break,,,,2,2,4,2,4,2,6,4,2,3,2,3,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,11,20,16,21,19,16,13,19,22,27,23,12,MandaraEgypt
40,Marsa_Alaam,Egypt,Egypt1,25.10813333,34.8822,Starts working at 1.0m-1.5m / 3ft-5ft and holds up to 2m+ / 6ft+,Take a car,Right and left,,,Empty,,Reef (coral; sharp rocks etc..),Easy to find,,Short (&amp;lt; 50m),All surfers,Instant access (&amp;lt; 5min),Public access,Sometimes break,Sloppy,Short (&amp;lt; 50m),Empty,Paddle &gt; 20mn or Boat,Reef-coral,High tide only,,,4,0,1,3,3,1,5,1,0,2,5,4,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,12,17,15,24,22,15,14,16,23,27,26,12,Marsa_AlaamEgypt
41,Ramadas,Egypt,Egypt1,31.24905,29.96805,Starts working at Less than 1m / 3ft and holds up to 1m+ / 3ft+,Take a car,Right and left,NorthWest,Rising and falling tides,Empty,Fun; Powerless,Sandy with rock,Easy to find,North; NorthWest; NorthEast,Short (&amp;lt; 50m),All surfers,Short walk (5-15 mn),Public access,Regular,Normal,Short (&amp;lt; 50m),Empty,Don't know,Beach-break,All tides,,,2,1,1,3,3,1,3,1,1,2,5,3,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,10,18,17,21,20,12,15,16,23,24,24,13,RamadasEgypt
42,Rowad_Resort__North_coast,Egypt,Egypt2,30.87331667,29.32776667,Starts working at Less than 1m / 3ft and holds up to 2.5m+ / 8ft+,Take a car,Right and left,,,Empty,,Sandy,Easy to find,,Short (&amp;lt; 50m),All surfers,Don't know,Private access,Sometimes break,Sloppy,Short (&amp;lt; 50m),Empty,Don't know,Beach-break,All tides,,,1,0,4,2,2,3,6,2,1,2,2,6,Fullsuit,Fullsuit,Springsuit,Boardshorts,Springsuit,Fullsuit,14,15,14,22,22,14,12,14,23,22,26,14,Rowad_Resort__North_coastEgypt
